fold,train_period,val_month,test_month,model,MSE,RMSE,MAE,R2,Directional_Accuracy,Sharpe
8,2022-08→2023-07,2023-08,2023-09,Transformer,0.00019641295,0.0140147405,0.011001799,-0.0367734432220459,0.45,-1.565599515039809
8,2022-08→2023-07,2023-08,2023-09,CNN_LSTM,0.00019141883,0.01383542,0.010974851,-0.010411858558654785,0.55,-0.5269024275959978
8,2022-08→2023-07,2023-08,2023-09,TFT,0.00019221769,0.013864259,0.010972051,-0.01462864875793457,0.55,-0.5269024275959978
9,2022-09→2023-08,2023-09,2023-10,TCN,0.0005937375,0.024366729,0.015408614,-0.01592540740966797,0.5,-3.257254596591049
9,2022-09→2023-08,2023-09,2023-10,LSTM,0.0006375932,0.025250608,0.016179465,-0.0909653902053833,0.4090909090909091,-6.2565709219323
9,2022-09→2023-08,2023-09,2023-10,Transformer,0.0006153569,0.024806388,0.015699236,-0.05291759967803955,0.4090909090909091,-6.177944532582176
9,2022-09→2023-08,2023-09,2023-10,CNN_LSTM,0.0006115182,0.024728894,0.015607199,-0.046349287033081055,0.45454545454545453,-1.565951499357487
9,2022-09→2023-08,2023-09,2023-10,TFT,0.00058636034,0.024214879,0.015259347,-0.003302454948425293,0.5454545454545454,1.565951499357487
10,2022-10→2023-09,2023-10,2023-11,TCN,0.00012336156,0.011106825,0.009887417,-0.06728386878967285,0.5714285714285714,1.2395391498719885
10,2022-10→2023-09,2023-10,2023-11,LSTM,0.00010410495,0.010203184,0.008629108,0.09931814670562744,0.6190476190476191,3.0340442619424763
10,2022-10→2023-09,2023-10,2023-11,Transformer,0.00011392642,0.010673632,0.00944716,0.014346003532409668,0.6190476190476191,3.138638247019574
10,2022-10→2023-09,2023-10,2023-11,CNN_LSTM,0.00011133682,0.010551627,0.00911512,0.03675031661987305,0.6190476190476191,3.0340442619424763
10,2022-10→2023-09,2023-10,2023-11,TFT,0.00013276197,0.011522238,0.0103786625,-0.1486130952835083,0.38095238095238093,-3.0340442619424763
11,2022-11→2023-10,2023-11,2023-12,TCN,0.0002097309,0.014482089,0.0099497195,0.16444766521453857,0.8,9.522471133326315
11,2022-11→2023-10,2023-11,2023-12,LSTM,0.0002704827,0.016446358,0.010252247,-0.0775829553604126,0.6,1.8369140182814718
11,2022-11→2023-10,2023-11,2023-12,Transformer,0.0002507149,0.01583398,0.011000511,0.0011706352233886719,0.6,-0.03086854454062149
11,2022-11→2023-10,2023-11,2023-12,CNN_LSTM,0.000227131,0.015070866,0.010145703,0.09512704610824585,0.6,6.6900310934031175
11,2022-11→2023-10,2023-11,2023-12,TFT,0.00025167954,0.015864411,0.011585883,-0.002672553062438965,0.5,2.46808257459415
12,2022-12→2023-11,2023-12,2024-01,TCN,0.00048182555,0.021950524,0.017274229,-0.1959775686264038,0.5238095238095238,1.7649040115641512
12,2022-12→2023-11,2023-12,2024-01,LSTM,0.00044012038,0.020979047,0.014928604,-0.09245777130126953,0.38095238095238093,-1.945183613788838
12,2022-12→2023-11,2023-12,2024-01,Transformer,0.0004147446,0.02036528,0.01390584,-0.02947056293487549,0.5238095238095238,1.86159668201004
12,2022-12→2023-11,2023-12,2024-01,CNN_LSTM,0.00043327647,0.020815294,0.01480216,-0.075469970703125,0.38095238095238093,-0.5722724491891682
12,2022-12→2023-11,2023-12,2024-01,TFT,0.000402696,0.020067286,0.012533277,0.000436246395111084,0.6190476190476191,0.9714407614039479
13,2023-01→2023-12,2024-01,2024-02,TCN,0.00024119535,0.015530465,0.011521213,-0.016934752464294434,0.6,0.3055393009694328
13,2023-01→2023-12,2024-01,2024-02,LSTM,0.00026641213,0.016322136,0.011716593,-0.12325453758239746,0.6,-1.3642074771152595
13,2023-01→2023-12,2024-01,2024-02,Transformer,0.00030911434,0.017581647,0.012457291,-0.3032968044281006,0.6,-1.4289911606331551
13,2023-01→2023-12,2024-01,2024-02,CNN_LSTM,0.00025866186,0.016082969,0.011839399,-0.09057760238647461,0.6,-1.3642074771152595
13,2023-01→2023-12,2024-01,2024-02,TFT,0.00024688392,0.01571254,0.011995845,-0.04091918468475342,0.6,-1.3642074771152595
14,2023-02→2024-01,2024-02,2024-03,TCN,0.00029278264,0.017110892,0.013331723,-0.06172490119934082,0.65,6.151752452233243
14,2023-02→2024-01,2024-02,2024-03,LSTM,0.0003022742,0.017386034,0.013364127,-0.09614431858062744,0.45,2.565815704059734
14,2023-02→2024-01,2024-02,2024-03,Transformer,0.0003597234,0.018966375,0.014509529,-0.304473876953125,0.4,-4.5114705226609475
14,2023-02→2024-01,2024-02,2024-03,CNN_LSTM,0.0003195594,0.017876225,0.0137944,-0.15882599353790283,0.45,0.6795064940603013
14,2023-02→2024-01,2024-02,2024-03,TFT,0.00032605662,0.018057037,0.013870579,-0.182387113571167,0.35,-6.151752452233243
15,2023-03→2024-02,2024-03,2024-04,TCN,0.00068872137,0.026243502,0.016532898,0.00017577409744262695,0.5454545454545454,1.6435271398237905
15,2023-03→2024-02,2024-03,2024-04,LSTM,0.0006859286,0.02619024,0.0164791,0.004230022430419922,0.5454545454545454,1.0840026495433206
15,2023-03→2024-02,2024-03,2024-04,Transformer,0.0006727975,0.02593834,0.016096495,0.02329254150390625,0.7727272727272727,6.087539442214271
15,2023-03→2024-02,2024-03,2024-04,CNN_LSTM,0.00068861456,0.026241466,0.016516484,0.0003307461738586426,0.5454545454545454,1.6435271398237905
15,2023-03→2024-02,2024-03,2024-04,TFT,0.0006957806,0.026377654,0.016759971,-0.01007235050201416,0.5454545454545454,1.6435271398237905
16,2023-04→2024-03,2024-04,2024-05,TCN,0.00010041845,0.0100209005,0.007898405,-0.024838566780090332,0.7272727272727273,4.112104574090375
16,2023-04→2024-03,2024-04,2024-05,LSTM,9.105808e-05,0.009542435,0.007955518,0.07069039344787598,0.6818181818181818,5.016887832236853
16,2023-04→2024-03,2024-04,2024-05,Transformer,8.981987e-05,0.009477335,0.007860585,0.08332711458206177,0.5909090909090909,3.216610106391866
16,2023-04→2024-03,2024-04,2024-05,CNN_LSTM,9.037091e-05,0.009506362,0.0074684615,0.07770341634750366,0.6818181818181818,4.063924828219395
16,2023-04→2024-03,2024-04,2024-05,TFT,9.8018674e-05,0.009900438,0.007631624,-0.0003472566604614258,0.7272727272727273,4.112104574090375
17,2023-05→2024-04,2024-05,2024-06,TCN,0.00011539699,0.010742299,0.008479255,0.03986877202987671,0.6842105263157895,4.38424191163919
17,2023-05→2024-04,2024-05,2024-06,LSTM,0.00012221969,0.011055301,0.009150612,-0.01689779758453369,0.631578947368421,5.373144217641494
17,2023-05→2024-04,2024-05,2024-06,Transformer,0.00014135205,0.011889157,0.010417566,-0.17608368396759033,0.42105263157894735,0.3635899242572835
17,2023-05→2024-04,2024-05,2024-06,CNN_LSTM,0.00012928738,0.0113704605,0.009456061,-0.07570266723632812,0.5263157894736842,0.8230833928288874
17,2023-05→2024-04,2024-05,2024-06,TFT,0.00012026507,0.010966543,0.008399138,-0.0006347894668579102,0.6842105263157895,4.38424191163919
18,2023-06→2024-05,2024-06,2024-07,TCN,0.00031382448,0.017715093,0.012822376,-0.0034630298614501953,0.5909090909090909,4.902315517541066
18,2023-06→2024-05,2024-06,2024-07,LSTM,0.00033071963,0.0181857,0.013137376,-0.05748581886291504,0.5454545454545454,-0.06043963109522225
18,2023-06→2024-05,2024-06,2024-07,Transformer,0.0003723018,0.019295122,0.013966114,-0.1904458999633789,0.45454545454545453,-2.6757658590999918
18,2023-06→2024-05,2024-06,2024-07,CNN_LSTM,0.00031162237,0.017652828,0.01283274,0.0035782456398010254,0.5454545454545454,4.791485874803813
18,2023-06→2024-05,2024-06,2024-07,TFT,0.0003373756,0.018367786,0.013359212,-0.07876837253570557,0.45454545454545453,-2.6757658590999918
19,2023-07→2024-06,2024-07,2024-08,TCN,0.00030299582,0.017406775,0.013342062,-0.06428217887878418,0.5,-3.352846015026891
19,2023-07→2024-06,2024-07,2024-08,LSTM,0.00032072267,0.017908731,0.013553375,-0.12654829025268555,0.6363636363636364,3.1626122111407744
19,2023-07→2024-06,2024-07,2024-08,Transformer,0.00026678882,0.016333671,0.012837344,0.0628960132598877,0.6363636363636364,8.737151541838625
19,2023-07→2024-06,2024-07,2024-08,CNN_LSTM,0.0002474758,0.015731364,0.012024399,0.13073354959487915,0.6818181818181818,7.474283377604945
19,2023-07→2024-06,2024-07,2024-08,TFT,0.000301014,0.017349755,0.0136878975,-0.05732095241546631,0.5,-3.352846015026891
20,2023-08→2024-07,2024-08,2024-09,TCN,0.0001901533,0.013789608,0.010542814,-0.04866170883178711,0.7,3.692745774346532
20,2023-08→2024-07,2024-08,2024-09,LSTM,0.00021260223,0.014580886,0.011222253,-0.1724635362625122,0.55,1.057686854276279
20,2023-08→2024-07,2024-08,2024-09,Transformer,0.00019411171,0.013932398,0.010721748,-0.07049167156219482,0.45,-4.887853409198192
20,2023-08→2024-07,2024-08,2024-09,CNN_LSTM,0.00018588552,0.013633984,0.0102843065,-0.025125741958618164,0.7,3.692745774346532
20,2023-08→2024-07,2024-08,2024-09,TFT,0.00020931385,0.014467683,0.011701577,-0.15432870388031006,0.3,-3.692745774346532
21,2023-09→2024-08,2024-09,2024-10,TCN,0.00015053025,0.012269077,0.009641908,-0.017334938049316406,0.34782608695652173,-1.53996237770786
21,2023-09→2024-08,2024-09,2024-10,LSTM,0.00015566233,0.012476471,0.010088546,-0.052019476890563965,0.34782608695652173,-1.53996237770786
21,2023-09→2024-08,2024-09,2024-10,Transformer,0.00013943294,0.011808173,0.008752592,0.057664334774017334,0.6086956521739131,1.53996237770786
21,2023-09→2024-08,2024-09,2024-10,CNN_LSTM,0.00015582496,0.012482987,0.009301938,-0.05311846733093262,0.6086956521739131,1.53996237770786
21,2023-09→2024-08,2024-09,2024-10,TFT,0.00014940304,0.012223054,0.009194673,-0.009716987609863281,0.6086956521739131,1.53996237770786
22,2023-10→2024-09,2024-10,2024-11,TCN,0.00036857455,0.019198295,0.015628304,0.00042247772216796875,0.55,0.20126365117157916
22,2023-10→2024-09,2024-10,2024-11,LSTM,0.00036768324,0.019175068,0.015813172,0.00283968448638916,0.6,3.429644120243055
22,2023-10→2024-09,2024-10,2024-11,Transformer,0.00036396808,0.019077947,0.015345685,0.012915253639221191,0.55,0.20126365117157916
22,2023-10→2024-09,2024-10,2024-11,CNN_LSTM,0.00044963922,0.021204699,0.017267907,-0.21942567825317383,0.6,0.0845586364693031
22,2023-10→2024-09,2024-10,2024-11,TFT,0.00036924338,0.019215707,0.015639966,-0.0013914108276367188,0.55,0.20126365117157916
23,2023-11→2024-10,2024-11,2024-12,TCN,0.00051277986,0.022644643,0.016096488,-0.05113482475280762,0.6666666666666666,0.8425127260984017
23,2023-11→2024-10,2024-11,2024-12,LSTM,0.0005064891,0.022505311,0.016453706,-0.038239479064941406,0.5238095238095238,3.163827124753405
23,2023-11→2024-10,2024-11,2024-12,Transformer,0.000583507,0.02415589,0.01727074,-0.19611668586730957,0.5714285714285714,0.22789730862066376
23,2023-11→2024-10,2024-11,2024-12,CNN_LSTM,0.0005098887,0.022580715,0.016773261,-0.04520833492279053,0.6190476190476191,3.933910147779889
23,2023-11→2024-10,2024-11,2024-12,TFT,0.0005165201,0.02272708,0.01620014,-0.058801889419555664,0.47619047619047616,-3.6250905090917738
24,2023-12→2024-11,2024-12,2025-01,TCN,0.00029848295,0.01727666,0.01410328,-0.01291036605834961,0.55,2.9349514511207007
24,2023-12→2024-11,2024-12,2025-01,LSTM,0.0002961557,0.017209174,0.014275377,-0.0050127506256103516,0.55,2.9349514511207007
24,2023-12→2024-11,2024-12,2025-01,Transformer,0.00030857226,0.017566225,0.014483428,-0.047148704528808594,0.55,2.9349514511207007
24,2023-12→2024-11,2024-12,2025-01,CNN_LSTM,0.0002944083,0.01715833,0.0141135575,0.0009170770645141602,0.55,2.9349514511207007
24,2023-12→2024-11,2024-12,2025-01,TFT,0.00029564404,0.017194303,0.013991984,-0.0032764673233032227,0.55,2.9349514511207007
25,2024-01→2024-12,2025-01,2025-02,TCN,0.00058429886,0.024172274,0.017532801,-0.3353930711746216,0.3157894736842105,-7.238092911596195
25,2024-01→2024-12,2025-01,2025-02,LSTM,0.00061847887,0.024869235,0.018562887,-0.4135103225708008,0.3157894736842105,-2.963443493513171
25,2024-01→2024-12,2025-01,2025-02,Transformer,0.0006004295,0.024503663,0.018046966,-0.37225914001464844,0.3684210526315789,-1.2895336966066944
25,2024-01→2024-12,2025-01,2025-02,CNN_LSTM,0.0006367055,0.025233023,0.018883089,-0.4551665782928467,0.3157894736842105,-3.2091543310498682
25,2024-01→2024-12,2025-01,2025-02,TFT,0.00056344137,0.02373692,0.017094675,-0.2877241373062134,0.3157894736842105,-7.238092911596195
26,2024-02→2025-01,2025-02,2025-03,TCN,0.0005071028,0.022518944,0.018327756,-0.07700729370117188,0.5238095238095238,-1.920164577950231
26,2024-02→2025-01,2025-02,2025-03,LSTM,0.0005027675,0.022422478,0.01836792,-0.06779968738555908,0.5714285714285714,1.4724036242821423
26,2024-02→2025-01,2025-02,2025-03,Transformer,0.0004911582,0.02216209,0.018025452,-0.043143391609191895,0.5238095238095238,-1.920164577950231
26,2024-02→2025-01,2025-02,2025-03,CNN_LSTM,0.00047690337,0.021838117,0.018415118,-0.012868285179138184,0.38095238095238093,-1.4752547445650543
26,2024-02→2025-01,2025-02,2025-03,TFT,0.0004698276,0.021675507,0.01842768,0.002159595489501953,0.47619047619047616,1.920164577950231
27,2024-03→2025-02,2025-03,2025-04,TCN,0.0009024858,0.030041402,0.0225766,-0.0130234956741333,0.5238095238095238,-1.3291797151627869
27,2024-03→2025-02,2025-03,2025-04,LSTM,0.00090039865,0.030006643,0.022484198,-0.010680675506591797,0.47619047619047616,0.996183981574267
27,2024-03→2025-02,2025-03,2025-04,Transformer,0.0008666239,0.029438477,0.022405911,0.02723085880279541,0.6190476190476191,5.405855104325488
27,2024-03→2025-02,2025-03,2025-04,CNN_LSTM,0.00090653554,0.03010873,0.022430917,-0.017569303512573242,0.5714285714285714,-0.9044847929496839
27,2024-03→2025-02,2025-03,2025-04,TFT,0.0008972124,0.029953504,0.022483608,-0.007104158401489258,0.5714285714285714,-0.9044847929496839
28,2024-04→2025-03,2025-04,2025-05,TCN,0.00052665547,0.022948975,0.016730148,0.024094462394714355,0.5238095238095238,3.9481023541694897
28,2024-04→2025-03,2025-04,2025-05,LSTM,0.00055051444,0.023463044,0.017260786,-0.020116806030273438,0.5238095238095238,2.2551448360234008
28,2024-04→2025-03,2025-04,2025-05,Transformer,0.0005580722,0.023623552,0.017027441,-0.03412151336669922,0.5238095238095238,-0.8195731298704314
